team_id,team_name,interception_returns_attempts,interception_returns_yards,defense_tackles,defense_sacks,defense_sack_yards,defense_passes_defensed,defense_forced_fumbles,defense_fumble_recoveries,special_teams_tackles
1,BC Lions,1,31,41,5,32,2,1,0,10
1,BC Lions,1,0,36,2,26,1,1,4,8
1,BC Lions,2,7,37,2,11,1,1,2,14
1,BC Lions,1,0,37,1,4,1,1,1,7
1,BC Lions,2,83,42,4,18,3,1,1,7
1,BC Lions,1,45,41,0,0,2,1,2,10
1,BC Lions,0,0,36,1,0,1,1,1,5
1,BC Lions,3,82,29,5,19,6,2,5,12
1,BC Lions,1,19,36,3,5,2,1,3,8
1,BC Lions,1,2,39,3,16,1,0,0,9
1,BC Lions,0,0,45,2,7,7,0,2,11
1,BC Lions,0,0,41,2,15,1,1,2,4
1,BC Lions,1,17,39,2,15,3,1,1,10
1,BC Lions,0,0,39,2,18,1,0,0,12
1,BC Lions,1,33,42,2,13,7,0,1,10
1,BC Lions,0,0,44,1,3,0,2,1,12
1,BC Lions,5,38,36,4,19,3,2,4,10
1,BC Lions,1,8,46,1,3,2,2,4,6
1,BC Lions,2,15,35,4,23,6,1,0,13
1,BC Lions,0,0,30,2,16,5,0,0,9
1,BC Lions,0,0,43,4,20,1,0,1,7
1,BC Lions,1,8,45,3,24,3,1,1,10
1,BC Lions,1,10,43,3,18,2,0,0,8
1,BC Lions,0,0,48,1,8,4,2,1,10
1,BC Lions,1,53,34,2,17,4,1,1,8
1,BC Lions,1,41,27,3,28,3,1,1,11
1,BC Lions,1,0,44,2,17,3,0,0,7
1,BC Lions,1,34,37,1,20,2,3,2,13
1,BC Lions,0,0,40,2,16,1,0,0,7
1,BC Lions,2,36,37,2,16,3,2,1,12
1,BC Lions,0,0,49,3,20,1,1,0,7
1,BC Lions,1,34,36,3,22,1,2,1,10
1,BC Lions,0,0,28,3,11,1,1,1,10
1,BC Lions,0,0,40,3,13,2,0,0,10
1,BC Lions,0,0,43,3,11,1,0,1,12
1,BC Lions,1,38,43,2,17,3,0,0,8
1,BC Lions,1,7,33,1,5,2,0,0,11
1,BC Lions,2,4,39,10,64,2,1,1,13
1,BC Lions,1,0,51,2,9,0,0,1,10
1,BC Lions,1,10,42,0,0,2,2,0,8
1,BC Lions,1,15,43,1,2,0,0,0,7
1,BC Lions,1,1,55,2,6,3,1,0,6
1,BC Lions,1,29,43,1,3,2,0,0,6
1,BC Lions,1,5,44,2,16,4,1,0,6
1,BC Lions,2,20,43,0,0,0,0,0,8
2,Calgary Stampeders,0,0,29,3,18,1,2,1,8
2,Calgary Stampeders,2,67,37,7,49,4,0,1,8
2,Calgary Stampeders,0,0,45,7,46,1,0,2,7
2,Calgary Stampeders,1,0,37,6,36,3,0,1,11
2,Calgary Stampeders,2,0,47,5,27,4,0,0,8
2,Calgary Stampeders,1,0,31,3,14,6,0,1,10
2,Calgary Stampeders,0,0,52,2,12,0,0,0,8
2,Calgary Stampeders,0,0,41,4,25,0,2,2,6
2,Calgary Stampeders,1,0,34,2,13,4,1,2,4
2,Calgary Stampeders,5,5,42,2,9,6,0,0,12
2,Calgary Stampeders,0,0,34,3,19,3,1,1,11
2,Calgary Stampeders,1,6,35,3,13,5,1,2,6
2,Calgary Stampeders,0,0,34,4,11,3,3,4,10
2,Calgary Stampeders,1,5,30,1,7,5,0,0,8
2,Calgary Stampeders,1,65,35,1,1,3,1,1,9
2,Calgary Stampeders,3,6,32,1,6,3,1,2,12
2,Calgary Stampeders,2,2,34,4,19,4,2,2,9
2,Calgary Stampeders,1,7,41,5,32,2,0,2,5
2,Calgary Stampeders,1,0,42,7,44,1,1,2,8
2,Calgary Stampeders,1,0,44,2,4,1,0,0,13
2,Calgary Stampeders,1,8,43,4,32,2,0,0,7
2,Calgary Stampeders,1,1,34,4,39,3,0,0,6
2,Calgary Stampeders,0,0,51,3,8,3,2,1,11
2,Calgary Stampeders,1,0,41,3,20,0,2,1,8
2,Calgary Stampeders,1,10,35,3,20,3,1,2,12
2,Calgary Stampeders,1,63,43,1,1,2,0,0,11
2,Calgary Stampeders,2,51,34,4,23,2,0,0,5
2,Calgary Stampeders,2,19,49,4,10,3,1,1,10
2,Calgary Stampeders,1,11,33,3,37,3,1,0,11
2,Calgary Stampeders,0,0,36,3,12,1,2,0,7
2,Calgary Stampeders,0,0,37,2,17,4,1,1,14
2,Calgary Stampeders,1,1,48,2,17,1,2,2,7
2,Calgary Stampeders,0,0,53,1,6,2,0,0,10
2,Calgary Stampeders,2,55,41,2,11,1,0,0,10
2,Calgary Stampeders,3,91,43,4,13,0,1,0,9
2,Calgary Stampeders,0,0,38,2,10,1,1,1,9
2,Calgary Stampeders,3,72,31,3,20,3,1,0,10
2,Calgary Stampeders,0,0,46,1,8,2,2,1,7
2,Calgary Stampeders,2,43,47,5,31,1,2,0,8
2,Calgary Stampeders,1,15,40,1,8,10,1,1,14
2,Calgary Stampeders,0,0,44,3,18,1,1,0,8
2,Calgary Stampeders,1,98,44,3,20,4,0,0,5
2,Calgary Stampeders,0,0,50,0,0,1,0,0,7
2,Calgary Stampeders,1,10,30,1,2,3,1,1,9
2,Calgary Stampeders,1,0,37,2,11,1,2,3,9
2,Calgary Stampeders,0,0,41,4,20,2,1,0,6
3,Edmonton Eskimos,0,0,52,3,17,0,2,4,11
3,Edmonton Eskimos,0,0,39,4,30,2,3,3,12
3,Edmonton Eskimos,1,27,44,4,33,0,2,1,8
3,Edmonton Eskimos,2,31,40,3,13,2,0,0,11
3,Edmonton Eskimos,2,31,43,4,25,2,1,2,10
3,Edmonton Eskimos,2,58,34,3,43,2,2,2,9
3,Edmonton Eskimos,0,0,40,1,12,1,1,1,9
3,Edmonton Eskimos,2,4,34,4,39,4,1,3,12
3,Edmonton Eskimos,0,0,43,2,13,3,1,2,9
3,Edmonton Eskimos,1,1,43,1,8,1,0,0,8
3,Edmonton Eskimos,0,0,46,2,13,1,3,2,8
3,Edmonton Eskimos,1,0,39,6,42,3,1,0,10
3,Edmonton Eskimos,1,0,51,4,27,1,0,2,10
3,Edmonton Eskimos,2,50,42,1,5,4,0,0,9
3,Edmonton Eskimos,2,19,48,3,27,2,0,2,7
3,Edmonton Eskimos,0,0,42,2,5,0,2,0,8
3,Edmonton Eskimos,0,0,55,2,17,1,1,1,8
3,Edmonton Eskimos,0,0,42,1,16,0,1,0,8
3,Edmonton Eskimos,0,0,39,3,17,5,0,1,11
3,Edmonton Eskimos,1,56,59,2,11,2,0,1,7
3,Edmonton Eskimos,2,18,40,4,24,3,0,0,11
3,Edmonton Eskimos,4,23,36,4,22,2,1,1,11
3,Edmonton Eskimos,3,34,36,4,20,4,2,3,8
3,Edmonton Eskimos,1,12,31,5,20,2,0,0,9
3,Edmonton Eskimos,1,17,34,5,32,2,1,1,7
3,Edmonton Eskimos,0,0,37,1,2,8,0,0,12
3,Edmonton Eskimos,1,22,40,4,21,4,1,0,11
3,Edmonton Eskimos,0,0,34,1,8,3,2,1,4
3,Edmonton Eskimos,3,67,45,5,35,3,2,2,13
3,Edmonton Eskimos,0,0,44,1,5,4,0,1,7
3,Edmonton Eskimos,0,0,37,2,11,2,0,0,9
3,Edmonton Eskimos,0,0,30,1,2,6,0,0,7
3,Edmonton Eskimos,1,3,46,6,43,2,2,1,7
3,Edmonton Eskimos,2,9,32,6,41,5,1,0,10
3,Edmonton Eskimos,1,27,42,1,6,2,1,1,10
3,Edmonton Eskimos,1,15,35,4,29,5,2,2,7
3,Edmonton Eskimos,2,47,34,0,0,6,0,0,8
3,Edmonton Eskimos,0,0,29,3,23,2,1,1,9
3,Edmonton Eskimos,0,0,36,2,15,4,1,1,8
3,Edmonton Eskimos,0,0,34,3,16,2,0,0,9
3,Edmonton Eskimos,5,65,31,7,38,0,1,0,8
3,Edmonton Eskimos,1,4,39,8,59,1,3,0,10
3,Edmonton Eskimos,0,0,43,4,18,1,1,2,6
3,Edmonton Eskimos,2,57,36,2,9,8,1,0,10
3,Edmonton Eskimos,1,0,47,2,16,2,3,2,3
3,Edmonton Eskimos,2,28,37,4,18,1,0,0,10
4,Saskatchewan Roughriders,4,134,34,5,30,1,1,2,14
4,Saskatchewan Roughriders,2,53,36,2,10,3,1,1,13
4,Saskatchewan Roughriders,1,8,35,7,42,2,3,2,6
4,Saskatchewan Roughriders,0,0,41,2,23,3,0,3,9
4,Saskatchewan Roughriders,1,28,33,3,22,2,2,4,9
4,Saskatchewan Roughriders,3,98,38,3,15,3,2,3,11
4,Saskatchewan Roughriders,1,0,35,2,6,2,0,0,5
4,Saskatchewan Roughriders,0,0,46,5,28,3,0,1,6
4,Saskatchewan Roughriders,0,0,39,0,0,2,1,2,8
4,Saskatchewan Roughriders,0,0,35,4,30,5,0,0,8
4,Saskatchewan Roughriders,1,0,29,5,34,2,1,1,8
4,Saskatchewan Roughriders,0,0,39,7,58,2,2,4,12
4,Saskatchewan Roughriders,3,53,34,5,27,1,0,0,10
4,Saskatchewan Roughriders,0,0,44,1,9,3,1,1,10
4,Saskatchewan Roughriders,2,0,34,0,0,5,2,2,10
4,Saskatchewan Roughriders,2,31,41,3,8,3,0,1,9
4,Saskatchewan Roughriders,2,19,36,3,27,1,1,2,7
4,Saskatchewan Roughriders,4,37,31,1,10,3,3,4,14
4,Saskatchewan Roughriders,1,0,45,3,33,6,3,4,11
4,Saskatchewan Roughriders,1,22,25,3,16,4,1,0,10
4,Saskatchewan Roughriders,0,0,44,1,1,1,1,2,6
4,Saskatchewan Roughriders,1,0,28,3,23,3,1,4,14
4,Saskatchewan Roughriders,2,3,38,2,16,1,1,0,12
4,Saskatchewan Roughriders,1,12,37,10,51,2,1,2,6
4,Saskatchewan Roughriders,0,0,45,2,9,2,1,1,8
4,Saskatchewan Roughriders,0,0,48,2,17,1,0,0,9
4,Saskatchewan Roughriders,2,51,49,4,36,2,3,3,9
4,Saskatchewan Roughriders,2,5,40,3,11,3,0,0,8
4,Saskatchewan Roughriders,3,83,38,5,45,1,2,2,11
4,Saskatchewan Roughriders,1,8,40,3,22,2,2,2,6
4,Saskatchewan Roughriders,0,0,33,3,15,2,0,0,12
4,Saskatchewan Roughriders,1,23,38,4,19,1,2,1,9
4,Saskatchewan Roughriders,2,22,43,5,32,3,0,1,11
4,Saskatchewan Roughriders,1,0,48,3,27,4,0,0,11
4,Saskatchewan Roughriders,1,18,41,6,47,1,1,1,11
4,Saskatchewan Roughriders,0,0,42,2,8,2,0,0,10
4,Saskatchewan Roughriders,1,0,41,1,8,4,0,0,8
4,Saskatchewan Roughriders,0,0,42,2,12,3,1,1,6
4,Saskatchewan Roughriders,1,26,42,3,12,0,0,1,8
4,Saskatchewan Roughriders,1,15,39,3,22,1,0,0,10
4,Saskatchewan Roughriders,2,23,49,0,0,4,1,2,8
4,Saskatchewan Roughriders,1,0,49,3,28,3,0,0,9
4,Saskatchewan Roughriders,0,0,34,2,12,1,0,1,7
4,Saskatchewan Roughriders,0,0,44,1,11,0,0,0,7
4,Saskatchewan Roughriders,1,0,44,4,17,2,0,0,3
4,Saskatchewan Roughriders,0,0,45,0,0,1,0,0,11
4,Saskatchewan Roughriders,0,0,28,0,0,2,2,0,4
4,Saskatchewan Roughriders,0,0,41,1,2,3,0,0,8
5,Winnipeg Blue Bombers,0,0,55,3,18,1,0,1,7
5,Winnipeg Blue Bombers,1,20,46,1,7,0,0,1,8
5,Winnipeg Blue Bombers,0,0,35,3,15,3,1,2,8
5,Winnipeg Blue Bombers,1,2,44,8,69,3,1,3,12
5,Winnipeg Blue Bombers,0,0,39,3,9,1,0,0,5
5,Winnipeg Blue Bombers,1,46,46,4,30,2,0,0,10
5,Winnipeg Blue Bombers,0,0,46,4,35,4,3,4,9
5,Winnipeg Blue Bombers,2,17,36,7,39,1,1,2,10
5,Winnipeg Blue Bombers,0,0,46,3,29,3,3,3,12
5,Winnipeg Blue Bombers,0,0,46,7,46,1,0,1,6
5,Winnipeg Blue Bombers,0,0,44,1,2,1,1,2,9
5,Winnipeg Blue Bombers,0,0,59,1,8,1,0,0,9
5,Winnipeg Blue Bombers,0,0,44,4,21,2,1,2,10
5,Winnipeg Blue Bombers,0,0,41,3,11,1,1,1,7
5,Winnipeg Blue Bombers,0,0,50,0,0,2,0,0,7
5,Winnipeg Blue Bombers,4,29,42,0,0,6,0,0,12
5,Winnipeg Blue Bombers,2,33,44,2,15,2,1,1,7
5,Winnipeg Blue Bombers,1,0,34,1,7,4,0,0,5
5,Winnipeg Blue Bombers,0,0,45,1,4,0,2,2,9
5,Winnipeg Blue Bombers,0,0,43,1,2,1,3,3,9
5,Winnipeg Blue Bombers,0,0,42,2,12,3,2,2,11
5,Winnipeg Blue Bombers,1,44,36,1,8,3,0,0,8
5,Winnipeg Blue Bombers,0,0,33,1,7,5,3,2,6
5,Winnipeg Blue Bombers,0,0,33,2,26,2,2,0,7
5,Winnipeg Blue Bombers,1,28,39,4,26,3,1,1,12
5,Winnipeg Blue Bombers,1,20,52,4,32,2,0,0,8
5,Winnipeg Blue Bombers,2,35,41,6,40,1,3,1,6
5,Winnipeg Blue Bombers,1,0,32,3,18,1,1,0,7
5,Winnipeg Blue Bombers,0,0,45,1,5,3,0,0,7
5,Winnipeg Blue Bombers,0,0,46,1,9,1,2,2,9
5,Winnipeg Blue Bombers,3,63,50,2,19,4,0,1,8
5,Winnipeg Blue Bombers,0,0,40,1,3,2,0,1,7
5,Winnipeg Blue Bombers,0,0,42,3,9,1,2,2,5
5,Winnipeg Blue Bombers,0,0,48,3,25,3,1,0,5
5,Winnipeg Blue Bombers,0,0,33,3,20,2,1,0,9
5,Winnipeg Blue Bombers,1,30,46,1,4,2,2,1,6
5,Winnipeg Blue Bombers,1,0,51,2,5,2,2,1,7
5,Winnipeg Blue Bombers,2,2,46,2,17,1,1,0,8
5,Winnipeg Blue Bombers,1,20,43,2,13,1,0,0,9
5,Winnipeg Blue Bombers,0,0,37,2,8,2,3,5,9
5,Winnipeg Blue Bombers,2,28,40,4,21,0,1,2,9
5,Winnipeg Blue Bombers,1,0,37,0,0,3,0,0,4
5,Winnipeg Blue Bombers,0,0,45,2,16,1,2,1,5
5,Winnipeg Blue Bombers,2,40,42,2,13,2,0,1,6
5,Winnipeg Blue Bombers,0,0,35,1,7,2,1,1,6
5,Winnipeg Blue Bombers,0,0,38,2,5,1,1,1,12
6,Hamilton Tiger-Cats,3,28,33,2,11,4,0,0,12
6,Hamilton Tiger-Cats,0,0,41,1,6,0,0,2,8
6,Hamilton Tiger-Cats,0,0,37,3,9,4,1,1,13
6,Hamilton Tiger-Cats,6,260,35,2,2,6,2,2,7
6,Hamilton Tiger-Cats,2,27,39,2,4,2,1,1,9
6,Hamilton Tiger-Cats,0,0,30,0,0,4,0,0,8
6,Hamilton Tiger-Cats,0,0,31,1,13,2,3,5,8
6,Hamilton Tiger-Cats,0,0,41,2,19,2,1,1,8
6,Hamilton Tiger-Cats,1,4,35,6,42,3,0,0,5
6,Hamilton Tiger-Cats,1,0,42,2,6,3,0,0,5
6,Hamilton Tiger-Cats,0,0,41,0,0,1,0,0,8
6,Hamilton Tiger-Cats,0,0,42,3,17,4,2,0,8
6,Hamilton Tiger-Cats,0,0,36,1,5,2,0,0,7
6,Hamilton Tiger-Cats,1,15,37,5,29,2,0,0,6
6,Hamilton Tiger-Cats,2,25,38,2,9,3,1,1,7
6,Hamilton Tiger-Cats,1,0,37,2,13,2,1,1,6
6,Hamilton Tiger-Cats,2,50,34,2,21,5,1,2,12
6,Hamilton Tiger-Cats,0,0,35,1,11,3,1,2,7
6,Hamilton Tiger-Cats,2,6,40,0,0,2,2,2,7
6,Hamilton Tiger-Cats,2,15,31,2,21,7,3,4,11
6,Hamilton Tiger-Cats,0,0,25,0,0,3,1,2,8
6,Hamilton Tiger-Cats,0,0,47,2,13,1,3,2,7
6,Hamilton Tiger-Cats,3,34,35,3,18,1,1,1,12
6,Hamilton Tiger-Cats,2,25,47,3,21,0,2,0,10
6,Hamilton Tiger-Cats,1,42,41,1,4,0,2,1,10
6,Hamilton Tiger-Cats,1,3,43,2,9,3,2,2,11
6,Hamilton Tiger-Cats,0,0,39,2,12,5,1,1,5
6,Hamilton Tiger-Cats,1,18,46,1,13,3,0,0,8
6,Hamilton Tiger-Cats,0,0,47,1,9,1,2,2,10
6,Hamilton Tiger-Cats,2,0,42,3,19,2,1,0,8
6,Hamilton Tiger-Cats,1,0,45,4,27,3,1,0,9
6,Hamilton Tiger-Cats,1,0,29,4,31,2,3,2,10
6,Hamilton Tiger-Cats,1,40,32,1,10,4,2,1,9
6,Hamilton Tiger-Cats,1,4,37,5,31,1,0,0,7
6,Hamilton Tiger-Cats,2,33,34,5,16,1,2,1,9
6,Hamilton Tiger-Cats,0,0,44,5,31,0,0,1,9
6,Hamilton Tiger-Cats,0,0,36,2,8,4,0,0,7
6,Hamilton Tiger-Cats,1,28,49,4,17,1,1,1,7
6,Hamilton Tiger-Cats,0,0,29,4,18,2,1,0,6
6,Hamilton Tiger-Cats,1,0,42,1,12,6,4,3,9
6,Hamilton Tiger-Cats,4,153,41,4,28,3,1,1,9
6,Hamilton Tiger-Cats,0,0,31,1,7,1,2,2,6
6,Hamilton Tiger-Cats,1,1,39,0,0,1,0,0,7
6,Hamilton Tiger-Cats,3,30,43,1,8,2,1,0,10
6,Hamilton Tiger-Cats,3,119,41,4,42,2,0,0,4
6,Hamilton Tiger-Cats,3,82,29,2,19,1,0,0,10
6,Hamilton Tiger-Cats,0,0,43,0,0,0,0,0,6
6,Hamilton Tiger-Cats,1,26,39,3,29,1,0,0,4
7,Toronto Argonauts,3,0,34,2,13,2,0,0,12
7,Toronto Argonauts,1,0,48,4,29,0,1,2,8
7,Toronto Argonauts,0,0,32,4,32,4,0,0,8
7,Toronto Argonauts,4,63,30,5,35,2,1,0,10
7,Toronto Argonauts,3,36,42,2,15,6,0,0,8
7,Toronto Argonauts,0,0,36,2,16,4,0,0,8
7,Toronto Argonauts,1,10,47,3,12,2,0,1,12
7,Toronto Argonauts,0,0,42,1,9,2,1,1,10
7,Toronto Argonauts,2,25,42,2,13,2,0,0,11
7,Toronto Argonauts,1,47,38,2,8,1,1,2,10
7,Toronto Argonauts,1,9,42,3,11,1,3,3,6
7,Toronto Argonauts,3,102,34,4,13,4,1,3,8
7,Toronto Argonauts,1,28,42,1,9,1,0,1,9
7,Toronto Argonauts,1,0,33,2,22,7,3,6,8
7,Toronto Argonauts,0,0,44,2,4,4,0,2,5
7,Toronto Argonauts,0,0,51,1,1,3,1,2,5
7,Toronto Argonauts,1,37,55,3,19,2,1,2,7
7,Toronto Argonauts,1,4,44,0,0,5,1,1,10
7,Toronto Argonauts,1,8,33,1,1,6,0,0,7
7,Toronto Argonauts,1,62,33,0,0,4,0,0,7
7,Toronto Argonauts,1,0,49,4,21,1,0,0,10
7,Toronto Argonauts,0,0,34,2,21,1,2,1,11
7,Toronto Argonauts,0,0,35,9,71,3,1,1,9
7,Toronto Argonauts,1,0,43,1,4,0,0,0,11
7,Toronto Argonauts,2,108,36,5,38,4,1,1,12
7,Toronto Argonauts,0,0,31,0,0,1,0,2,4
7,Toronto Argonauts,0,0,37,5,25,2,0,0,7
7,Toronto Argonauts,1,8,33,2,15,2,1,1,7
7,Toronto Argonauts,1,46,33,2,22,3,0,0,12
7,Toronto Argonauts,0,0,37,5,41,2,1,1,8
7,Toronto Argonauts,0,0,42,3,12,4,0,0,11
7,Toronto Argonauts,2,16,35,4,26,1,2,1,11
7,Toronto Argonauts,0,0,55,3,21,3,2,2,7
7,Toronto Argonauts,1,43,37,0,0,2,2,1,7
7,Toronto Argonauts,1,0,37,3,25,4,0,0,10
7,Toronto Argonauts,1,38,33,3,20,0,1,0,4
7,Toronto Argonauts,0,0,33,2,32,5,1,2,9
7,Toronto Argonauts,0,0,43,1,12,2,3,1,9
7,Toronto Argonauts,1,0,38,4,31,1,0,0,7
7,Toronto Argonauts,0,0,36,0,0,1,1,1,11
7,Toronto Argonauts,2,28,35,3,19,2,0,0,10
7,Toronto Argonauts,0,0,39,1,7,3,1,1,7
7,Toronto Argonauts,3,88,35,0,0,2,1,1,8
7,Toronto Argonauts,1,13,36,2,17,5,2,3,6
7,Toronto Argonauts,1,100,58,1,8,1,2,1,8
7,Toronto Argonauts,1,1,44,2,13,3,1,1,7
7,Toronto Argonauts,1,0,32,1,5,2,0,0,7
9,Montreal Alouettes,0,0,33,2,5,2,1,1,13
9,Montreal Alouettes,1,0,36,2,3,2,2,2,7
9,Montreal Alouettes,0,0,35,2,28,4,0,3,13
9,Montreal Alouettes,1,0,49,5,30,2,2,3,12
9,Montreal Alouettes,3,8,29,3,6,4,1,1,11
9,Montreal Alouettes,3,9,40,2,12,3,1,2,6
9,Montreal Alouettes,1,0,48,5,22,2,4,4,9
9,Montreal Alouettes,1,4,37,5,38,2,1,2,8
9,Montreal Alouettes,0,0,51,6,43,1,1,1,6
9,Montreal Alouettes,3,0,35,4,23,5,0,1,7
9,Montreal Alouettes,1,0,45,2,15,0,0,1,8
9,Montreal Alouettes,2,26,33,3,23,2,0,1,9
9,Montreal Alouettes,0,0,47,1,7,1,1,0,5
9,Montreal Alouettes,5,104,35,1,3,3,1,1,10
9,Montreal Alouettes,0,0,42,2,6,2,2,6,6
9,Montreal Alouettes,0,0,34,0,0,1,0,3,8
9,Montreal Alouettes,1,4,37,5,32,2,1,6,10
9,Montreal Alouettes,1,14,37,5,40,4,1,1,12
9,Montreal Alouettes,1,64,39,2,8,1,0,2,8
9,Montreal Alouettes,0,0,38,6,37,6,1,1,10
9,Montreal Alouettes,2,31,35,3,18,2,1,1,8
9,Montreal Alouettes,0,0,37,2,8,1,0,0,7
9,Montreal Alouettes,0,0,40,1,4,2,0,0,8
9,Montreal Alouettes,2,25,37,5,37,0,1,1,8
9,Montreal Alouettes,0,0,36,4,32,5,1,2,9
9,Montreal Alouettes,0,0,50,4,32,3,1,1,8
9,Montreal Alouettes,0,0,38,1,8,3,1,1,12
9,Montreal Alouettes,1,25,35,1,3,2,1,2,3
9,Montreal Alouettes,0,0,46,3,19,0,1,0,7
9,Montreal Alouettes,1,16,34,3,11,2,2,1,9
9,Montreal Alouettes,0,0,39,3,13,1,1,1,7
9,Montreal Alouettes,1,45,51,5,17,4,2,2,12
9,Montreal Alouettes,0,0,48,2,6,4,2,1,10
9,Montreal Alouettes,1,1,31,1,5,1,3,2,13
9,Montreal Alouettes,0,0,53,3,36,2,1,1,6
9,Montreal Alouettes,2,8,42,5,41,1,1,2,9
9,Montreal Alouettes,1,13,36,1,7,3,2,2,10
9,Montreal Alouettes,3,17,36,4,30,0,1,2,5
9,Montreal Alouettes,0,0,45,3,22,3,0,0,11
9,Montreal Alouettes,1,38,47,2,14,1,1,1,9
9,Montreal Alouettes,2,21,29,2,12,2,0,0,9
9,Montreal Alouettes,0,0,43,1,3,3,3,1,5
9,Montreal Alouettes,1,0,38,1,5,2,2,2,7
9,Montreal Alouettes,3,22,51,1,5,0,2,0,8
9,Montreal Alouettes,1,8,37,3,22,0,0,0,3
9,Montreal Alouettes,0,0,42,3,29,3,0,0,5
9,Montreal Alouettes,3,20,40,3,9,0,2,1,7
65,Ottawa REDBLACKS,1,2,44,2,12,2,1,1,12
65,Ottawa REDBLACKS,0,0,41,3,15,0,0,0,12
65,Ottawa REDBLACKS,1,2,36,5,26,2,1,1,11
65,Ottawa REDBLACKS,0,0,43,2,13,2,0,0,5
65,Ottawa REDBLACKS,2,18,38,3,18,2,1,1,5
65,Ottawa REDBLACKS,1,0,40,1,4,0,0,0,5
65,Ottawa REDBLACKS,0,0,42,2,18,1,1,1,8
65,Ottawa REDBLACKS,1,29,46,1,5,2,0,0,8
65,Ottawa REDBLACKS,1,17,54,3,14,2,1,2,5
65,Ottawa REDBLACKS,1,35,43,1,2,2,0,1,8
65,Ottawa REDBLACKS,1,0,44,0,0,0,1,1,11
65,Ottawa REDBLACKS,0,0,41,2,15,3,1,0,9
65,Ottawa REDBLACKS,0,0,40,1,7,0,0,0,10
65,Ottawa REDBLACKS,2,14,31,0,0,4,0,0,9
65,Ottawa REDBLACKS,3,113,44,6,20,2,0,0,5
65,Ottawa REDBLACKS,0,0,43,0,0,1,1,1,6
65,Ottawa REDBLACKS,1,9,46,4,26,0,0,0,6
65,Ottawa REDBLACKS,1,32,48,1,3,4,0,0,5
65,Ottawa REDBLACKS,0,0,33,4,39,1,1,1,7
65,Ottawa REDBLACKS,1,0,45,1,8,1,0,0,4
65,Ottawa REDBLACKS,2,31,26,2,5,4,0,0,7
65,Ottawa REDBLACKS,1,0,33,2,8,1,0,0,6
65,Ottawa REDBLACKS,1,66,35,4,21,1,1,2,11
65,Ottawa REDBLACKS,3,7,45,2,11,0,1,0,8
65,Ottawa REDBLACKS,0,0,32,2,11,7,3,3,10
