home_team,away_team,home_score,away_score,home_qt1,home_qt2,home_qt3,home_qt4,away_qt1,away_qt2,away_qt3,away_qt4
BC Lions,Hamilton Tiger-Cats,29,26,7,7,7,8,0,9,7,10
BC Lions,Edmonton Eskimos,22,27,8,0,7,7,7,10,3,7
BC Lions,Montreal Alouettes,36,14,5,10,7,14,0,0,7,7
BC Lions,Toronto Argonauts,24,16,7,7,3,7,0,3,3,10
BC Lions,Edmonton Eskimos,31,21,0,10,14,7,3,7,0,11
BC Lions,Winnipeg Blue Bombers,27,20,3,14,0,10,8,8,1,3
BC Lions,Saskatchewan Roughriders,17,31,3,0,7,7,0,16,9,6
BC Lions,Calgary Stampeders,26,22,14,7,0,5,7,9,3,3
BC Lions,Edmonton Eskimos,43,29,1,14,14,14,10,5,0,14
BC Lions,Calgary Stampeders,26,7,7,10,0,9,4,0,3,0
BC Lions,Edmonton Eskimos,20,27,14,3,0,3,7,6,7,7
BC Lions,Montreal Alouettes,41,5,10,10,7,14,3,0,0,2
BC Lions,Winnipeg Blue Bombers,6,23,0,6,0,0,6,3,14,0
BC Lions,Hamilton Tiger-Cats,36,29,17,0,10,9,3,16,7,3
BC Lions,Saskatchewan Roughriders,16,20,10,3,3,0,0,9,10,1
BC Lions,Winnipeg Blue Bombers,26,9,3,12,1,10,3,0,3,3
BC Lions,Toronto Argonauts,23,40,0,9,0,14,4,17,7,12
BC Lions,Ottawa REDBLACKS,41,3,3,14,10,14,0,3,0,0
BC Lions,Calgary Stampeders,16,33,3,10,3,0,3,21,3,6
BC Lions,Saskatchewan Roughriders,35,32,3,3,6,17,7,0,8,14
BC Lions,Toronto Argonauts,27,30,14,7,0,6,0,7,11,12
Calgary Stampeders,BC Lions,27,29,3,14,0,10,7,10,6,6
Calgary Stampeders,Edmonton Eskimos,37,34,17,0,13,7,0,7,0,27
Calgary Stampeders,Hamilton Tiger-Cats,26,22,6,7,3,10,8,7,7,0
Calgary Stampeders,BC Lions,44,32,16,15,7,6,0,6,15,11
Calgary Stampeders,Toronto Argonauts,27,33,11,7,7,2,7,8,10,8
Calgary Stampeders,Montreal Alouettes,38,27,0,19,16,3,24,0,0,3
Calgary Stampeders,Saskatchewan Roughriders,42,27,13,13,0,16,0,7,13,7
Calgary Stampeders,Winnipeg Blue Bombers,38,11,17,8,10,3,3,1,7,0
Calgary Stampeders,BC Lions,40,26,13,6,7,14,0,11,7,8
Calgary Stampeders,Saskatchewan Roughriders,29,25,3,7,9,10,3,12,3,7
Calgary Stampeders,Winnipeg Blue Bombers,23,20,14,3,0,6,0,7,10,3
Calgary Stampeders,Montreal Alouettes,29,8,11,0,4,14,0,0,1,7
Calgary Stampeders,Hamilton Tiger-Cats,10,7,0,7,0,3,4,0,3,0
Calgary Stampeders,BC Lions,24,25,7,14,0,3,7,3,3,12
Calgary Stampeders,Ottawa REDBLACKS,38,17,7,21,4,6,0,7,7,3
Calgary Stampeders,Edmonton Eskimos,28,13,8,7,3,10,7,3,0,3
Calgary Stampeders,Toronto Argonauts,40,33,3,7,15,15,15,14,3,1
Calgary Stampeders,BC Lions,14,7,0,3,8,3,7,0,0,0
Calgary Stampeders,Saskatchewan Roughriders,40,27,8,7,0,25,3,17,7,0
Calgary Stampeders,Winnipeg Blue Bombers,13,18,7,3,1,2,3,0,6,9
Calgary Stampeders,Edmonton Eskimos,43,18,7,22,7,7,1,3,14,0
Calgary Stampeders,Hamilton Tiger-Cats,20,16,7,10,3,0,0,7,0,9
Calgary Stampeders,Hamilton Tiger-Cats,24,23,7,3,8,6,15,3,3,2
Calgary Stampeders,Toronto Argonauts,25,20,0,22,0,3,7,7,3,3
Calgary Stampeders,Winnipeg Blue Bombers,26,25,8,8,7,3,16,0,6,3
Edmonton Eskimos,Saskatchewan Roughriders,24,31,7,7,7,3,10,1,3,17
Edmonton Eskimos,Calgary Stampeders,12,22,0,9,0,3,7,3,3,9
Edmonton Eskimos,Winnipeg Blue Bombers,25,7,17,7,0,1,0,3,1,3
Edmonton Eskimos,Saskatchewan Roughriders,18,39,0,1,5,12,14,8,14,3
Edmonton Eskimos,BC Lions,3,17,3,0,0,0,0,1,14,2
Edmonton Eskimos,Toronto Argonauts,22,34,8,7,7,0,1,0,10,23
Edmonton Eskimos,Hamilton Tiger-Cats,29,30,3,3,9,14,3,14,3,10
Edmonton Eskimos,Montreal Alouettes,24,47,3,0,0,21,14,17,1,15
Edmonton Eskimos,Saskatchewan Roughriders,27,30,3,7,14,3,3,9,10,8
Edmonton Eskimos,Calgary Stampeders,13,27,0,10,0,3,3,17,0,7
Edmonton Eskimos,BC Lions,11,14,7,3,1,0,3,1,0,10
Edmonton Eskimos,Hamilton Tiger-Cats,28,24,7,3,3,15,7,3,7,7
Edmonton Eskimos,Ottawa REDBLACKS,27,11,1,1,9,16,0,7,1,3
Edmonton Eskimos,Calgary Stampeders,22,26,3,10,7,2,10,10,3,3
Edmonton Eskimos,Toronto Argonauts,41,27,7,24,0,10,7,3,13,4
Edmonton Eskimos,Calgary Stampeders,34,41,0,10,0,24,3,14,14,10
Edmonton Eskimos,Montreal Alouettes,33,16,5,1,6,21,0,6,3,7
Edmonton Eskimos,Saskatchewan Roughriders,24,0,10,4,3,7,0,0,0,0
Edmonton Eskimos,Winnipeg Blue Bombers,41,9,10,27,3,1,0,0,6,3
Edmonton Eskimos,BC Lions,37,3,10,10,10,7,3,0,0,0
Edmonton Eskimos,Saskatchewan Roughriders,18,10,6,11,1,0,0,7,3,0
Edmonton Eskimos,Saskatchewan Roughriders,31,24,0,14,3,14,0,11,13,0
Edmonton Eskimos,Ottawa REDBLACKS,46,17,14,22,7,3,0,11,3,3
Edmonton Eskimos,Winnipeg Blue Bombers,32,3,1,3,14,14,3,0,0,0
Saskatchewan Roughriders,Winnipeg Blue Bombers,48,25,7,7,10,24,2,16,0,7
Saskatchewan Roughriders,Calgary Stampeders,23,24,7,0,16,0,10,4,0,10
Saskatchewan Roughriders,Toronto Argonauts,29,31,3,17,3,6,11,1,0,19
Saskatchewan Roughriders,Calgary Stampeders,36,21,3,11,6,16,7,14,0,0
Saskatchewan Roughriders,BC Lions,22,24,0,9,3,10,3,3,15,3
Saskatchewan Roughriders,Hamilton Tiger-Cats,37,0,0,16,7,14,0,0,0,0
Saskatchewan Roughriders,Montreal Alouettes,24,21,7,1,3,13,3,4,4,10
Saskatchewan Roughriders,Edmonton Eskimos,14,9,0,14,0,0,3,0,6,0
Saskatchewan Roughriders,BC Lions,35,14,10,21,0,4,7,0,7,0
Saskatchewan Roughriders,Edmonton Eskimos,26,30,3,7,10,6,10,3,10,7
Saskatchewan Roughriders,BC Lions,29,25,3,13,0,13,0,17,8,0
Saskatchewan Roughriders,Hamilton Tiger-Cats,45,23,7,24,0,14,3,3,7,10
Saskatchewan Roughriders,Hamilton Tiger-Cats,31,10,12,12,7,0,0,1,2,7
Saskatchewan Roughriders,BC Lions,13,26,0,13,0,0,11,3,2,10
Saskatchewan Roughriders,Toronto Argonauts,37,9,14,14,3,6,6,0,3,0
Saskatchewan Roughriders,Montreal Alouettes,16,11,1,3,1,11,0,4,0,7
Saskatchewan Roughriders,Winnipeg Blue Bombers,35,30,0,14,7,14,7,0,14,9
Saskatchewan Roughriders,Ottawa REDBLACKS,35,32,3,7,7,15,7,15,7,3
Saskatchewan Roughriders,Calgary Stampeders,24,31,0,0,16,8,2,7,15,7
Saskatchewan Roughriders,Edmonton Eskimos,19,24,3,10,0,6,0,4,10,10
Saskatchewan Roughriders,Edmonton Eskimos,24,17,0,16,8,0,1,3,3,10
Saskatchewan Roughriders,Winnipeg Blue Bombers,26,30,0,14,9,3,7,8,8,7
Saskatchewan Roughriders,Toronto Argonauts,40,42,3,14,4,7,3,7,1,17
Saskatchewan Roughriders,BC Lions,24,27,0,4,7,13,7,2,11,7
Saskatchewan Roughriders,Hamilton Tiger-Cats,21,31,3,11,7,0,7,7,3,14
Winnipeg Blue Bombers,Toronto Argonauts,6,24,3,0,3,0,0,14,10,0
Winnipeg Blue Bombers,Saskatchewan Roughriders,25,13,7,3,7,8,3,9,1,0
Winnipeg Blue Bombers,Montreal Alouettes,33,38,10,3,20,0,14,9,1,14
Winnipeg Blue Bombers,Edmonton Eskimos,27,35,14,6,7,0,0,11,3,13
Winnipeg Blue Bombers,BC Lions,17,53,7,7,0,3,15,18,14,6
Winnipeg Blue Bombers,Toronto Argonauts,19,35,3,3,0,13,7,14,10,4
Winnipeg Blue Bombers,Calgary Stampeders,24,37,7,7,0,10,8,9,10,10
Winnipeg Blue Bombers,Hamilton Tiger-Cats,18,37,0,7,0,11,10,7,7,13
Winnipeg Blue Bombers,Toronto Argonauts,20,26,3,0,7,10,10,13,0,3
Winnipeg Blue Bombers,Hamilton Tiger-Cats,7,37,3,3,0,1,3,14,10,10
Winnipeg Blue Bombers,Toronto Argonauts,22,24,3,10,0,9,7,7,3,7
Winnipeg Blue Bombers,Toronto Argonauts,45,21,17,7,14,7,0,7,7,7
Winnipeg Blue Bombers,Ottawa REDBLACKS,36,28,7,10,3,16,21,0,4,3
Winnipeg Blue Bombers,Edmonton Eskimos,3,26,0,3,0,0,7,6,0,13
Winnipeg Blue Bombers,Saskatchewan Roughriders,17,23,3,7,0,7,3,0,7,13
Winnipeg Blue Bombers,Montreal Alouettes,24,16,1,0,7,16,0,6,7,3
Winnipeg Blue Bombers,Saskatchewan Roughriders,24,30,7,1,8,8,1,26,3,0
Winnipeg Blue Bombers,Hamilton Tiger-Cats,11,16,0,5,0,6,3,7,3,3
Winnipeg Blue Bombers,Calgary Stampeders,23,33,3,3,10,7,15,1,7,10
Winnipeg Blue Bombers,BC Lions,23,28,4,10,3,6,7,6,0,15
Winnipeg Blue Bombers,Hamilton Tiger-Cats,26,52,7,6,5,8,17,21,11,3
Winnipeg Blue Bombers,Montreal Alouettes,25,23,6,13,3,3,0,10,3,10
Hamilton Tiger-Cats,BC Lions,37,29,3,14,17,3,2,6,0,21
Hamilton Tiger-Cats,Winnipeg Blue Bombers,52,0,14,21,9,8,0,0,0,0
Hamilton Tiger-Cats,Edmonton Eskimos,20,30,7,6,0,7,16,0,7,7
Hamilton Tiger-Cats,Montreal Alouettes,28,26,3,10,0,15,7,3,9,7
Hamilton Tiger-Cats,Winnipeg Blue Bombers,25,20,8,4,5,8,0,13,0,7
Hamilton Tiger-Cats,Calgary Stampeders,11,35,1,3,7,0,0,17,10,8
Hamilton Tiger-Cats,Saskatchewan Roughriders,20,32,10,7,0,3,3,23,6,0
Hamilton Tiger-Cats,Toronto Argonauts,24,18,9,7,8,0,1,7,3,7
Hamilton Tiger-Cats,Winnipeg Blue Bombers,37,14,17,7,0,13,0,6,1,7
Hamilton Tiger-Cats,Montreal Alouettes,27,24,0,3,7,17,14,2,7,1
Hamilton Tiger-Cats,Montreal Alouettes,28,23,7,0,14,7,7,10,3,3
Hamilton Tiger-Cats,Ottawa REDBLACKS,33,23,14,6,3,10,7,10,3,3
Hamilton Tiger-Cats,Winnipeg Blue Bombers,26,27,0,3,7,16,6,7,7,7
Hamilton Tiger-Cats,Calgary Stampeders,20,30,7,0,3,10,10,7,3,10
Hamilton Tiger-Cats,Toronto Argonauts,13,12,10,3,0,0,3,7,2,0
Hamilton Tiger-Cats,Saskatchewan Roughriders,28,3,6,7,7,8,0,3,0,0
Hamilton Tiger-Cats,Edmonton Eskimos,25,23,0,3,7,15,0,15,0,8
Hamilton Tiger-Cats,BC Lions,19,17,0,9,3,7,10,0,7,0
Hamilton Tiger-Cats,Ottawa REDBLACKS,16,6,4,3,0,9,0,1,5,0
Hamilton Tiger-Cats,Montreal Alouettes,29,15,4,7,3,15,0,6,0,9
Hamilton Tiger-Cats,Montreal Alouettes,40,24,3,17,7,13,7,7,3,7
Toronto Argonauts,Montreal Alouettes,9,20,8,0,0,1,0,17,0,3
Toronto Argonauts,Montreal Alouettes,24,20,2,7,8,7,7,3,7,3
Toronto Argonauts,Hamilton Tiger-Cats,39,34,8,17,7,7,21,10,3,0
Toronto Argonauts,Saskatchewan Roughriders,28,39,11,3,0,14,7,14,8,10
Toronto Argonauts,BC Lions,38,12,0,14,7,17,3,3,6,0
Toronto Argonauts,Hamilton Tiger-Cats,19,33,0,6,10,3,8,14,0,11
Toronto Argonauts,Edmonton Eskimos,36,33,7,10,16,3,6,10,0,17
Toronto Argonauts,Calgary Stampeders,14,35,7,7,0,0,4,17,0,14
Toronto Argonauts,Winnipeg Blue Bombers,36,21,10,11,6,9,7,10,3,1
Toronto Argonauts,Montreal Alouettes,20,23,10,1,6,3,0,15,0,8
Toronto Argonauts,Hamilton Tiger-Cats,24,36,7,17,0,0,10,7,10,9
Toronto Argonauts,Hamilton Tiger-Cats,41,23,14,7,14,6,3,10,0,10
Toronto Argonauts,Saskatchewan Roughriders,48,15,7,10,8,23,0,1,14,0
Toronto Argonauts,Calgary Stampeders,15,34,6,3,6,0,10,7,14,3
Toronto Argonauts,Winnipeg Blue Bombers,38,21,0,21,0,17,7,7,7,0
Toronto Argonauts,BC Lions,17,33,0,9,1,7,10,3,0,20
Toronto Argonauts,Edmonton Eskimos,33,32,17,3,3,10,7,14,0,11
Toronto Argonauts,Hamilton Tiger-Cats,34,33,0,10,3,21,10,10,10,3
Toronto Argonauts,Montreal Alouettes,12,20,3,3,0,6,10,0,3,7
Toronto Argonauts,Hamilton Tiger-Cats,26,24,15,0,0,11,0,7,14,3
Toronto Argonauts,Ottawa REDBLACKS,23,5,14,6,0,3,0,0,2,3
Toronto Argonauts,Winnipeg Blue Bombers,27,34,6,0,8,13,3,10,14,7
Toronto Argonauts,Edmonton Eskimos,26,11,10,0,6,10,7,3,1,0
Montreal Alouettes,Hamilton Tiger-Cats,26,33,7,3,2,14,6,17,3,7
Montreal Alouettes,Toronto Argonauts,30,37,10,6,7,7,2,3,23,9
Montreal Alouettes,Winnipeg Blue Bombers,11,19,3,0,1,7,0,8,0,11
Montreal Alouettes,Calgary Stampeders,14,22,7,0,0,7,3,10,6,3
Montreal Alouettes,Saskatchewan Roughriders,17,12,1,3,7,6,1,2,1,8
Montreal Alouettes,Edmonton Eskimos,32,27,10,10,3,9,3,3,7,14
Montreal Alouettes,Toronto Argonauts,13,38,0,3,0,10,21,10,1,6
Montreal Alouettes,Winnipeg Blue Bombers,27,34,0,17,6,4,10,7,7,10
Montreal Alouettes,BC Lions,39,38,0,7,17,15,12,9,7,10
Montreal Alouettes,Hamilton Tiger-Cats,36,5,14,17,3,2,0,3,0,2
Montreal Alouettes,Ottawa REDBLACKS,10,26,4,3,3,0,7,15,1,3
Montreal Alouettes,BC Lions,24,9,14,6,0,4,0,0,3,6
Montreal Alouettes,Winnipeg Blue Bombers,33,34,7,6,10,10,10,9,3,12
Montreal Alouettes,Toronto Argonauts,5,31,4,1,0,0,3,7,7,14
Montreal Alouettes,Edmonton Eskimos,23,33,5,3,3,12,10,20,0,3
Montreal Alouettes,Ottawa REDBLACKS,20,10,7,1,5,7,3,0,0,7
Montreal Alouettes,Hamilton Tiger-Cats,38,31,7,0,17,14,17,4,3,7
Montreal Alouettes,Calgary Stampeders,31,15,0,15,3,13,0,8,7,0
Montreal Alouettes,Saskatchewan Roughriders,40,9,0,14,20,6,7,0,0,2
Montreal Alouettes,Toronto Argonauts,17,14,0,7,0,10,3,8,3,0
Montreal Alouettes,BC Lions,50,17,1,14,21,14,0,3,0,14
Montreal Alouettes,Toronto Argonauts,10,30,7,0,0,3,3,19,8,0
Montreal Alouettes,Ottawa REDBLACKS,16,20,6,7,3,0,0,5,8,7
Montreal Alouettes,Calgary Stampeders,29,11,7,9,6,7,0,0,3,8
Montreal Alouettes,Hamilton Tiger-Cats,17,13,4,3,7,3,0,10,0,3
Ottawa REDBLACKS,Saskatchewan Roughriders,17,21,10,0,7,0,7,7,7,0
Ottawa REDBLACKS,Toronto Argonauts,18,17,3,6,3,6,3,4,0,10
Ottawa REDBLACKS,Saskatchewan Roughriders,14,38,0,7,0,7,24,8,3,3
Ottawa REDBLACKS,Edmonton Eskimos,8,10,4,4,0,0,0,4,3,3
Ottawa REDBLACKS,Calgary Stampeders,7,32,7,0,0,0,7,1,3,21
Ottawa REDBLACKS,BC Lions,5,7,3,2,0,0,0,6,1,0
Ottawa REDBLACKS,Montreal Alouettes,7,15,0,7,0,0,0,10,2,3
Ottawa REDBLACKS,Winnipeg Blue Bombers,42,20,7,21,11,3,10,7,3,0
Ottawa REDBLACKS,Montreal Alouettes,17,23,7,0,3,7,7,6,10,0
Ottawa REDBLACKS,Hamilton Tiger-Cats,25,34,8,7,7,3,0,14,10,10
Ottawa REDBLACKS,BC Lions,27,16,0,10,3,14,3,4,9,0
Ottawa REDBLACKS,Edmonton Eskimos,12,23,0,3,3,6,5,3,3,12
Ottawa REDBLACKS,Calgary Stampeders,29,26,8,9,3,6,11,8,4,3
